VIN;Марка;Модель;ГодВыпуска;Пробег;Цена;Цвет;ТипКузова;КПП;ОбъемДвигателя;Дефекты;Салон;Город;ДатаВыгрузки
P00RKCXR8UAPUZ2CP;Nissan;Patrol;;234 149;6 306 750;Чёрный;Внедорожник;АКПП;5,6;"Замена ремня ГРМ по регламенту; Не работает стеклоподъёмник задней двери";Allur Auto;Алматы;10.09.2026 06:00:00
YH6EKR2042ATH60T1;Chevrolet;Nexia;2011;321 779;;Чёрный;Седан;МКПП;1,5;"Потёртость водительского сиденья; Требуется замена тормозных колодок; Требуется регулировка развал-схождения; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;10.09.2026 06:00:00
PR4SDLWR4TKN0SA17;Toyota;Highlander;2017;202705;4 028 556;Красный;Кроссовер;Вариатор;2,5;Потёртость водительского сиденья;Караван Авто;Караганда;10.09.2026 06:00:00
C1YY84KK60APKC1T4;Toyota;Camry;2022;35046;;Серебристый;Седан;Вариатор;2,0;"Коррозия на пороге; Не работает стеклоподъёмник задней двери";Мега Авто;Шымкент;10.09.2026 06:00:00
5HKCWGAB163F5SSW5;Nissan;Qashqai;2013;232612;11 667 684;Белый;Кроссовер;МКПП;1,6;"Окрашено переднее крыло; Требуется регулировка развал-схождения";Kolesa Trade;Алматы;10.09.2026 06:00:00
A3ABUVB96MGGKSNTZ;Renault;Arkana;2024;26 425;18 262 080;Красный;Кроссовер;АКПП;1,6;;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
8L1WLGT81T7KC619G;Toyota;Camry;2024;36029;13 808 767;Зелёный;Седан;АКПП;2,5;Скол на лобовом стекле;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
1XP6XY1U1TF7BDZRE;BMW;X5;2017;117907;1 749 706;Белый;Кроссовер;АКПП;3,0;"Замена ремня ГРМ по регламенту; Требуется замена тормозных колодок; Скол на лобовом стекле";Мега Авто;Шымкент;10.09.2026 06:00:00
5Y4JWXN71M2XV8SX1;Mercedes-Benz;GLE 350;2019;146 837;5 786 430;Красный;Кроссовер;АКПП;3,0;"Люфт рулевой рейки; Не работает стеклоподъёмник задней двери";Мега Авто;Шымкент;10.09.2026 06:00:00
V8NHJE5M9FXZEVWLM;Mercedes-Benz;C 180;2022;92 980;11 305 283;Чёрный;Седан;АКПП;1,6;;Караван Авто;Караганда;10.09.2026 06:00:00
0DR6Y7050GRAYZV0G;BMW;X5;2007;394386;1 764 490;Серебристый;Кроссовер;АКПП;3,0;"Помутнение фары; Вмятина на левой передней двери; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;10.09.2026 06:00:00
YZK5V48D1C9NLE6WP;Hyundai;Accent;2005;284 528;1 800 000;Белый;Седан;Вариатор;1,4;"Требуется регулировка развал-схождения; Люфт рулевой рейки";Караван Авто;Караганда;10.09.2026 06:00:00
Y16XNS1R1CX711K8C;Volkswagen;Passat;2023;39 260;6123884;Красный;Седан;Робот;2,0;Замена ремня ГРМ по регламенту;Мега Авто;Шымкент;10.09.2026 06:00:00
K552AYA74T9ZS84ED;Kia;Sportage;2005;456 283;1800000;Серый;Кроссовер;Вариатор;1,6;"Не работает стеклоподъёмник задней двери; Требуется регулировка развал-схождения; Коррозия на пороге; Требуется замена тормозных колодок; Люфт рулевой рейки";Караван Авто;Караганда;10.09.2026 06:00:00
CHJ7CLP78LDWNT165;BMW;X5;2020;113970;7 597 420;Чёрный;Кроссовер;АКПП;3,0;;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
JCCW8HGS41603K3G8;Nissan;X-Trail;2007;327 438;1 812 926;Синий;Кроссовер;Вариатор;2,5;"Требуется регулировка развал-схождения; Потёртость водительского сиденья; Не работает стеклоподъёмник задней двери";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
B17AZW1318RU48B1Y;Chevrolet;Onix;2022;72849;5358007;Серебристый;Седан;АКПП;1,2;Не работает стеклоподъёмник задней двери;Kolesa Trade;Алматы;10.09.2026 06:00:00
692HBS084M7ZZLTFV;Lada;Vesta;2012;246396;3322721;Серый;Седан;МКПП;1,6;"Коррозия на пороге; Вмятина на левой передней двери; Потёртость водительского сиденья";Мега Авто;Шымкент;10.09.2026 06:00:00
6TU50DGC3JE9S2UVY;Nissan;Almera;2007;421048;1 800 000;Коричневый;Седан;АКПП;1,6;"Царапина на заднем бампере; Вмятина на левой передней двери; Скол на лобовом стекле";Allur Auto;Алматы;10.09.2026 06:00:00
YMZJLLMF56E2PT6HG;Mercedes-Benz;C 180;2007;316 520;1800000;Красный;Седан;АКПП;2,0;"Окрашено переднее крыло; Царапина на заднем бампере; Не работает стеклоподъёмник задней двери; Вмятина на левой передней двери";Мега Авто;Шымкент;10.09.2026 06:00:00
TZ297CWU1DUS3EM85;Renault;Arkana;2005;367524;9 426 464;Серый;Кроссовер;МКПП;1,6;"Царапина на заднем бампере; Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Люфт рулевой рейки; Окрашено переднее крыло";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
EDRECYE92U8PJ7S73;Lada;Vesta;2015;171100;7357885;Коричневый;Седан;МКПП;1,8;"Люфт рулевой рейки; Вмятина на левой передней двери";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
